Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
32,1,44.6209,M,1,2,local,STIPreEmigrating,0,1,12,0,1,MARITAL,MIGRATING,105,1,1
32,105,43.2176,F,1,2,local,STIPreEmigrating,0,1,12,0,1,MARITAL,MIGRATING,1,0,1
32,50,25.8674,F,1,0,N/A,STIPostImmigrating,0,38,11,0,1,MARITAL,MIGRATING,286,0,1
32,286,33.2276,M,1,0,N/A,STIPostImmigrating,0,38,11,0,1,MARITAL,NORMAL,50,1,1
32,50,25.8674,F,2,1,local,STIPreEmigrating,0,38,11,0,1,MARITAL,MIGRATING,286,2,2
32,286,33.2276,M,2,1,local,STIPreEmigrating,0,38,11,0,1,MARITAL,MIGRATING,50,2,0
32,1,44.6209,M,2,0,N/A,STIPostImmigrating,0,1,12,0,1,MARITAL,MIGRATING,105,2,0
32,105,43.2176,F,2,0,N/A,STIPostImmigrating,0,1,12,0,1,MARITAL,NORMAL,1,2,2
33,163,28.0936,M,1,0,N/A,STIPostImmigrating,0,65,13,0,1,MARITAL,MIGRATING,129,1,0
33,129,22.4299,F,1,0,N/A,STIPostImmigrating,0,65,13,0,1,MARITAL,NORMAL,163,1,1
33,163,28.0936,M,2,1,local,STIPreEmigrating,0,65,13,0,1,MARITAL,MIGRATING,129,2,2
33,129,22.4299,F,2,1,local,STIPreEmigrating,0,65,13,0,1,MARITAL,MIGRATING,163,0,2
34,143,38.3352,F,1,2,local,STIPreEmigrating,0,29,22,0,1,MARITAL,MIGRATING,219,1,1
34,215,28.5906,F,1,2,local,STIPreEmigrating,0,51,13,0,1,MARITAL,MIGRATING,275,1,1
34,219,51.826,M,1,2,local,STIPreEmigrating,0,29,22,0,1,MARITAL,MIGRATING,143,1,0
